,transaction_id,category,title,price,time,main_contents,like,click_number,seller_location,seller_review_num,item_image,user_info,data_collect_time
1_10,mbpro_210427231239,mbpro,맥북프로 13인치 (EARLY 2011),"280,000원",16시간 전,"* 맥북 프로 13인치 *

모델 : EARLY 2011
CPU : 2.7GHz INTEL CORE i7
메모리 : 8GB
저장장치 : 500GB HDD
그래픽 : INTEL HD GRAPHICS 3000
MAC OS : HIGH SIERRA

외관은 사진처럼 상판 한쪽 모서리
약간 눌렸고 그 외에는 깨끗하며
정상 동작합니다.
키보드, 무선랜, USB, DVD 정상이며
배터리는 3 사이클 입니다.
사진의 노트북과 맥세이프만 있고
인천 동암역에서 상태 확인 후 직거래 
또는 택배 착불로 거래 가능합니다.
",1,85,인천광역시 부평구 십정2동,상점후기15,파파야3458상품45팔로워35,21-04-27 23:12:39,
1_11,mbpro_210427231246,mbpro,맥북 프로 2020 256g 스페이스그레이,"1,150,000원",16시간 전,"맥북 프로 2020년형 256기가 스페이스 그레이
작년 6월 23일 구매
보증기간 3개월 이상 남아있음
배터리 사이클 17
영문키보드
사놓고 노래 틀어놓는 것 이외에 거의 쓴 일이 없음
거의 새것입니다
구산역 직거래 가능합니다
택배거래도 가능하지만 웬만해서는 직거래가 나을겁니다
파우치는 키티버니포니 제품 3만원만 주시면 같이 드립니다
",17,585,서울특별시 은평구 구산동지역인증,상점후기13,기노만상품84팔로워8,21-04-27 23:12:46,
1_12,mbpro_210427231252,mbpro,(꿀매) 맥북프로 2015mid 15인치 (제조2017년),"1,290,000원",16시간 전,"모든 상품정보 사진에 다 들어가 있습니다

신용은 후기보시면 잘 아실겁니다 

편히 연락주세요!!!

❣️사이클 소폭 상승중 (성능저하 방지 및 배터리 방전 방지)

❣️포맷 초기화해서 익일 발송",35,2816,인천광역시 남동구 구월1동지역인증,상점후기49,인싸양성소상품22팔로워20,21-04-27 23:12:52,
1_13,mbpro_210427231258,mbpro,"맥북 2015년 프로 13 ""","550,000원",17시간 전,"2015 맥북 프로 레티나 13인치 16램 128GB 2.7Hz i5 노트북

깨끗하게 사용했습니다. 보호 필름으로 기스 없습니다.

삼성 가벼운 노트북이나 교환도 고려하겠습니다 판매 55만원
***-****-****",1,17,서울특별시 서초구 양재1동지역인증,상점후기21,로린저상품245팔로워75,21-04-27 23:12:58,
1_14,mbpro_210427231305,mbpro,맥북프로15인치2015 고급형,"1,100,000원",17시간 전,"맥북 프로 15인치 2015 레티나 디스플레이 mid 2015
고급형 모델입니다.

CPU 인텔 i7 2.8GHz 쿼드코어
램 16
SSD 256G
그래픽카드Intel Iris Pro 1536 MB

* 썬더볼트 단자 2개, 최근 맥북에서 지원하지않는 HDMI 포트, SD카드 리더포트 등 탑재되어있는 최종작입니다.

> 사진 작업 및 영상 송출 등에서 매우 편리합니다. + 허브 따로 구매하지 않고 안정성 확보가능합니다.

구성품 : 풀박스

영상편집 및 일러스트레이션시 트루톤으로 디스플레이를 주사하는 레티나 디스플레이입니다. 
디자인 하시는 분들께서 사용하시면 가장 좋은 작업 능률을 낼 수 있습니다.

자세한 안내사항은 첨부한 사진 확인해주시면 됩니다.
사과에서 빛 나오는 감성 애플의 마지막 역작, mid 2015 들이시면 됩니다. 

엔지니어링, 디자인, 음악작업에서는 후 5년까지 해당 제품 현역으로 봅니다.

고가의 전자제품이다보니 직거래 선호합니다


택배거래시 안전하게 보내드리겠습니다.",0,10,전국,상점후기,CMXH210상품1팔로워0,21-04-27 23:13:05,
1_15,mbpro_210427231311,mbpro,맥북 프로 2015,"550,000원",17시간 전,"맥푹 프로 2015 13인치 입니다
사진에 보다시피 모서리쪽에 자그만 찍힘외에는 하자 전혀 없고 커버와 케이스 계속 끼고 있어서 상태 좋습니다
ssd 128기가 램8기가 입니다",0,239,서울특별시 종로구 종로1.2.3.4가동,상점후기1,문찐하상품14팔로워0,21-04-27 23:13:11,
1_16,mbpro_210427231317,mbpro,2014 맥북 프로,"350,000원",17시간 전,"* 사진처럼 찍힘 2개 정도 있습니다

* 나머지 액정, 바닥,키보드,스피커상태는 양호합니다

* 사이클 323회입니다

* 다음주 목요일까지 시험기간이라 이후에 택배거래 가능하며 대구는 직거래도 가능합니다. 답장 느릴 수 있습니다 ㅠ
 
*하드125gb",4,78,대구광역시 북구 태전2동지역인증,상점후기2,도토리맛상품7팔로워0,21-04-27 23:13:17,
1_17,mbpro_210427231324,mbpro,맥북프로 16인치,"2,450,000원",18시간 전,"애플 공홈에서 369만원에 판매중인 맥북프로 16인치 고급형입니다.
2020년 3월에 구매하여 현재까지 사용하였고
실내에서만 사용하다보니 상처나 스크래치 전혀 없습니다.
구매 후 바로 전신보호 필름을 붙여놔서 필름떼시면 더욱 깨끗해집니다.

사양은 사진에 첨부되어 있습니다
사진에 표기되어 있지 않은 외장그래픽 사양은 라데온 5500m 입니다
배터리 사이클 155회입니다
박스보유하고 있습니다
문의주세요 !

40.8cm(16인치)/인텔/코어i9-9세대/커피레이크-R/i9-9880H (2.3GHz)/옥타코어/운영체제(OS): macOS Catalina/3072x1920/DCI-P3: 지원/IPS/광시야각/트루톤/LPDDR4(온보드)/16GB/SSD/1TB/외장그래픽/라데온 Pro 5500M/VRAM:4GB/802.11ac(Wi-Fi 5)/웹캠(HD)/썬더볼트3: 4개/USB 3.1 Type-C/USB-A없음/키보드 라이트/지문 인식/Apple T2/터치바/ㅗ형 방향키/배터리: 100Wh/충전단자: 타입C/두께: 16.2mm/무게: 2.0kg/주문제작상품/용도: 그래픽작업용/색상: 그레이",20,1257,서울특별시 중구 광희동지역인증,상점후기6,컴공오빠상품34팔로워0,21-04-27 23:13:24,
1_18,mbpro_210427231330,mbpro,맥북프로레티나,0원,18시간 전,,0,8,전국,상점후기,3쁘니입니다상품6팔로워0,21-04-27 23:13:30,
1_19,mbpro_210427231348,mbpro,맥북프로레티나,0원,18시간 전,,0,8,전국,상점후기,3쁘니입니다상품6팔로워0,21-04-27 23:13:48,
