[2021-04-27 23:12:52,340][INFO|crawlingdata.py;80] >> ['mbpro_210427231246', 'mbpro', '맥북 프로 2020 256g 스페이스그레이', '1,150,000원', '16시간 전', '맥북 프로 2020년형 256기가 스페이스 그레이\n작년 6월 23일 구매\n보증기간 3개월 이상 남아있음\n배터리 사이클 17\n영문키보드\n사놓고 노래 틀어놓는 것 이외에 거의 쓴 일이 없음\n거의 새것입니다\n구산역 직거래 가능합니다\n택배거래도 가능하지만 웬만해서는 직거래가 나을겁니다\n파우치는 키티버니포니 제품 3만원만 주시면 같이 드립니다\n', '17', '585', '서울특별시 은평구 구산동지역인증', '상점후기13', '기노만상품84팔로워8', '21-04-27 23:12:46']
[2021-04-27 23:12:58,805][INFO|crawlingdata.py;80] >> ['mbpro_210427231252', 'mbpro', '(꿀매) 맥북프로 2015mid 15인치 (제조2017년)', '1,290,000원', '16시간 전', '모든 상품정보 사진에 다 들어가 있습니다\n\n신용은 후기보시면 잘 아실겁니다 \n\n편히 연락주세요!!!\n\n❣️사이클 소폭 상승중 (성능저하 방지 및 배터리 방전 방지)\n\n❣️포맷 초기화해서 익일 발송', '35', '2816', '인천광역시 남동구 구월1동지역인증', '상점후기49', '인싸양성소상품22팔로워20', '21-04-27 23:12:52']
[2021-04-27 23:13:05,155][INFO|crawlingdata.py;80] >> ['mbpro_210427231258', 'mbpro', '맥북 2015년 프로 13 "', '550,000원', '17시간 전', '2015 맥북 프로 레티나 13인치 16램 128GB 2.7Hz i5 노트북\n\n깨끗하게 사용했습니다. 보호 필름으로 기스 없습니다.\n\n삼성 가벼운 노트북이나 교환도 고려하겠습니다 판매 55만원\n***-****-****', '1', '17', '서울특별시 서초구 양재1동지역인증', '상점후기21', '로린저상품245팔로워75', '21-04-27 23:12:58']
[2021-04-27 23:13:11,539][INFO|crawlingdata.py;80] >> ['mbpro_210427231305', 'mbpro', '맥북프로15인치2015 고급형', '1,100,000원', '17시간 전', '맥북 프로 15인치 2015 레티나 디스플레이 mid 2015\n고급형 모델입니다.\n\nCPU 인텔 i7 2.8GHz 쿼드코어\n램 16\nSSD 256G\n그래픽카드Intel Iris Pro 1536 MB\n\n* 썬더볼트 단자 2개, 최근 맥북에서 지원하지않는 HDMI 포트, SD카드 리더포트 등 탑재되어있는 최종작입니다.\n\n> 사진 작업 및 영상 송출 등에서 매우 편리합니다. + 허브 따로 구매하지 않고 안정성 확보가능합니다.\n\n구성품 : 풀박스\n\n영상편집 및 일러스트레이션시 트루톤으로 디스플레이를 주사하는 레티나 디스플레이입니다. \n디자인 하시는 분들께서 사용하시면 가장 좋은 작업 능률을 낼 수 있습니다.\n\n자세한 안내사항은 첨부한 사진 확인해주시면 됩니다.\n사과에서 빛 나오는 감성 애플의 마지막 역작, mid 2015 들이시면 됩니다. \n\n엔지니어링, 디자인, 음악작업에서는 후 5년까지 해당 제품 현역으로 봅니다.\n\n고가의 전자제품이다보니 직거래 선호합니다\n\n\n택배거래시 안전하게 보내드리겠습니다.', '0', '10', '전국', '상점후기', 'CMXH210상품1팔로워0', '21-04-27 23:13:05']
[2021-04-27 23:13:17,854][INFO|crawlingdata.py;80] >> ['mbpro_210427231311', 'mbpro', '맥북 프로 2015', '550,000원', '17시간 전', '맥푹 프로 2015 13인치 입니다\n사진에 보다시피 모서리쪽에 자그만 찍힘외에는 하자 전혀 없고 커버와 케이스 계속 끼고 있어서 상태 좋습니다\nssd 128기가 램8기가 입니다', '0', '239', '서울특별시 종로구 종로1.2.3.4가동', '상점후기1', '문찐하상품14팔로워0', '21-04-27 23:13:11']
[2021-04-27 23:13:24,173][INFO|crawlingdata.py;80] >> ['mbpro_210427231317', 'mbpro', '2014 맥북 프로', '350,000원', '17시간 전', '* 사진처럼 찍힘 2개 정도 있습니다\n\n* 나머지 액정, 바닥,키보드,스피커상태는 양호합니다\n\n* 사이클 323회입니다\n\n* 다음주 목요일까지 시험기간이라 이후에 택배거래 가능하며 대구는 직거래도 가능합니다. 답장 느릴 수 있습니다 ㅠ\n \n*하드125gb', '4', '78', '대구광역시 북구 태전2동지역인증', '상점후기2', '도토리맛상품7팔로워0', '21-04-27 23:13:17']
[2021-04-27 23:13:30,578][INFO|crawlingdata.py;80] >> ['mbpro_210427231324', 'mbpro', '맥북프로 16인치', '2,450,000원', '18시간 전', '애플 공홈에서 369만원에 판매중인 맥북프로 16인치 고급형입니다.\n2020년 3월에 구매하여 현재까지 사용하였고\n실내에서만 사용하다보니 상처나 스크래치 전혀 없습니다.\n구매 후 바로 전신보호 필름을 붙여놔서 필름떼시면 더욱 깨끗해집니다.\n\n사양은 사진에 첨부되어 있습니다\n사진에 표기되어 있지 않은 외장그래픽 사양은 라데온 5500m 입니다\n배터리 사이클 155회입니다\n박스보유하고 있습니다\n문의주세요 !\n\n40.8cm(16인치)/인텔/코어i9-9세대/커피레이크-R/i9-9880H (2.3GHz)/옥타코어/운영체제(OS): macOS Catalina/3072x1920/DCI-P3: 지원/IPS/광시야각/트루톤/LPDDR4(온보드)/16GB/SSD/1TB/외장그래픽/라데온 Pro 5500M/VRAM:4GB/802.11ac(Wi-Fi 5)/웹캠(HD)/썬더볼트3: 4개/USB 3.1 Type-C/USB-A없음/키보드 라이트/지문 인식/Apple T2/터치바/ㅗ형 방향키/배터리: 100Wh/충전단자: 타입C/두께: 16.2mm/무게: 2.0kg/주문제작상품/용도: 그래픽작업용/색상: 그레이', '20', '1257', '서울특별시 중구 광희동지역인증', '상점후기6', '컴공오빠상품34팔로워0', '21-04-27 23:13:24']
[2021-04-27 23:13:36,897][INFO|crawlingdata.py;80] >> ['mbpro_210427231330', 'mbpro', '맥북프로레티나', '0원', '18시간 전', '', '0', '8', '전국', '상점후기', '3쁘니입니다상품6팔로워0', '21-04-27 23:13:30']
[2021-04-27 23:13:55,004][INFO|crawlingdata.py;80] >> ['mbpro_210427231348', 'mbpro', '맥북프로레티나', '0원', '18시간 전', '', '0', '8', '전국', '상점후기', '3쁘니입니다상품6팔로워0', '21-04-27 23:13:48']
[2021-04-27 23:14:01,684][INFO|crawlingdata.py;80] >> ['mbpro_210427231355', 'mbpro', '2020년 맥북프로 13형 고급형', '1,950,000원', '17시간 전', '2020년 맥북프로 13형 고급형 스페이스 그레이 판매합니다.\n\n2021년 2월 말경에 배송을 받은후 현제 보관중 있습니다\ni5  10세대 CPu\n16기가 램 \n고용량 1TB SSD업그레이드 버젼입니다.\n\u200b\n맥북으로 입문하려고 했으나 기존에 쓰던 삼성노트북\n으로 사용하고자 판매 합니다 \n애플 정품이며 그의 새것 상태입니다 \n\u200b\n', '2', '54', '서울특별시 송파구 문정1동지역인증', '상점후기7', '골목길상점상품23팔로워6', '21-04-27 23:13:55']
[2021-04-27 23:14:08,021][INFO|crawlingdata.py;80] >> ['mbpro_210427231401', 'mbpro', '맥북프로 2018 15인치 256gb', '1,300,000원', '17시간 전', '2019년 12월 구매 \n\n인기 많은 영문자판 입니다\n\n구성품은 풀박스에 매직마우스, c타입 젠더 입니다\n\n나머지는 하자가 없으나 d키가 손톱이 길어서 그런지 살짝 벗겨졌습니다 ㅠ 문의주세요\n\n직거래는 신림역 가능\n\n매직마우스, 젠더도 서비스로 같이 드립니다!', '15', '221', '서울특별시 관악구 신림동지역인증', '상점후기13', '아리라랄라루레상품44팔로워11', '21-04-27 23:14:01']
[2021-04-27 23:14:14,346][INFO|crawlingdata.py;80] >> ['mbpro_210427231408', 'mbpro', '맥북프로 13인치 입니다', '230,000원', '18시간 전', 'i5 2.4ghz \nssd 120g\nram 8g\n그래픽카드 내장 512m\n밧데리 양호함  싸이클 280\n기능   이상무\n상태 양호함 \n본체 ㆍ충전기 ㆍ드립니다', '0', '61', '서울특별시 노원구 상계6.7동지역인증', '상점후기4', '땅당하자상품8팔로워11', '21-04-27 23:14:08']
[2021-04-27 23:14:34,177][INFO|crawlingdata.py;80] >> ['mbpro_210427231427', 'mbpro', '2015 맥북프로 15인치 기본형 CTO', '1,200,000원', '17시간 전', '2015 맥북프로 15인치 기본형 CTO\n\nMODEL : Macbook pro(Retina, 15-inch, Mid 2015)\nCPU : Intel i7 2.5ghz\nGPU : Intel Iris 1536 MB\nRAM : 16GB\nSSD : 512GB\n\n기본형에서 CPU와 SSD 업글 상품입니다.\n\n공식센터에서 배터리 교체 받았고, 배터리와 키보드가\n\n일체형이라 키보드도 함께 교체 되었습니다.\n\n풀박 보유는 아니지만 외관 상태는 좋으므로 많은 문의주세요!\n\n\n쿨거리시 네고 해드려요', '2', '133', '경기도 수원시 영통구 영통1동', '상점후기6', 'hs3678상품23팔로워3', '21-04-27 23:14:27']
[2021-04-27 23:14:55,019][INFO|crawlingdata.py;80] >> ['mbpro_210427231448', 'mbpro', '2011 맥북 프로 15인치 판매합니다.', '400,000원', '17시간 전', '맥북 프로 11년도 15인치 판매합니다.\n\n사촌형이 예전에 편집용으로 잠깐 쓰시던건데 \n제가 받아서 쓰려다가 사용방법을 잘 몰라서 팝니다.\n\n생활기스(사진 참고) \n약간씩 있는거 빼고는 겉은 이상 없고, \n연식이 있음에도 불구하고 현재 사용하기에 \n불편함 없이 충분히 괜찮습니다!\n액정, 자판 상태 매우 양호합니다.\n\n풀박스는 현재 없고, \n맥세이프(충전기)랑 쿨링패드(같이 사용하려고 구매) 있습니다. 같이 드리겠습니다!\n\n맥북입문, 영상 시청이나 동영상 편집용, 소장용으로 \n충분히 가치있다고 생각합니다. \n\n잘 사용하시는 좋은 분께 갔으면 하는 바람입니다😆\n\n전자제품이다보니 직거래 원하며\n독산3동, 구디역, 신림역쪽에서 거래 가능합니다.\n(쿨거래시 네고 가능하니 문의 부탁드립니다🤗)\n\n떠보기❌, 사실 생각 있는분만 문의/연락주세요😄\n비매너 거래 정중히 사양합니다😶', '0', '111', '서울특별시 금천구 독산제3동지역인증', '상점후기', '제에뚜상품2팔로워0', '21-04-27 23:14:48']
[2021-04-27 23:15:01,394][INFO|crawlingdata.py;80] >> ['mbpro_210427231455', 'mbpro', '맥북프로 13인치', '1,600,000원', '19시간 전', '애플 공식 대리점에서 올해 초에 구입후 잘 사용하지를 않아 처분 하게 되었습니다 관리 엄청 잘 해 놓았으며 마우스랑 케이스도 무료로 드리겠습니다 연락주세요\n***-****-**** 문자도 가능합니다', '0', '32', '전국', '상점후기1', 'zjqtm12상품5팔로워3', '21-04-27 23:14:55']
